회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
일양약품(주),007570,2014/03,398383754,116.65,53.84,46.16,0.87,3436021,0,0,4733361,4733361
일정실업(주),008500,2014/12,56016042,19.34,16.21,83.79,-19.54,10064007,0,0,3497531,3497533
일진다이아몬드(주),081000,2014/12,124614775,66.03,39.77,60.23,-1.44,11130637,6412750,150139,8458021,8458022
일진디스플레이(주),020760,2014/12,254069884,60.49,37.69,62.31,-31.09,43495529,0,0,22678002,22678002
일진전기(주),103590,2014/12,787649515,146.06,59.36,40.64,-10.4,37282093,0,0,35197421,35197421
일진하이솔루스(주),271940,2014/12,,,,,,,,,,
일진홀딩스(주),015860,2014/12,312326440,1.89,1.86,98.14,32.74,2487894,0,0,3512093,3512093
자이에스앤디(주),317400,2014/12,,,,,,,,,,
자화전자(주),033240,2014/12,295312756,24.74,19.83,80.17,-31.55,28937159,0,193191,22327614,22327614
전방(주),000950,2014/12,499023698,189.9,65.51,34.49,-16.33,-2447452,0,214913,-9470791,-9470791
제이더블유생명과학(주),234080,2014/12,160917674,114.04,53.28,46.72,24.04,12992881,0,0,12772884,12772884
제이더블유중외제약(주),001060,2014/12,592319115,166.76,62.51,37.49,4.72,7174597,0,0,18172168,18172168
제이더블유홀딩스(주),096760,2014/12,279419707,72.1,41.89,58.11,13.98,-17511136,0,0,-4059980,-4059980
제이준코스메틱(주),025620,2014/12,30689936,52.8,34.56,65.44,-76.25,-5325157,0,0,-20165563,-20165563
제일연마공업(주),001560,2014/12,79544337,26,20.64,79.36,3.23,8418101,529973,0,5564880,5564880
제일파마홀딩스(주),002620,2014/12,409567197,74.13,42.57,57.43,13.45,-3783105,0,0,8551227,8551227
조광페인트(주),004910,2014/12,221025073,64.34,39.15,60.85,4.76,19549274,0,0,15567742,15567742
조광피혁(주),004700,2014/12,200015729,17.38,14.81,85.19,5.25,-6177865,0,0,7872548,7872548
조선내화(주),000480,2014/12,637162893,37,27.01,72.99,0,33320344,0,1721885,36984621,36984621
조선선재(주),120030,2014/12,74264534,22.04,18.06,81.94,-1.81,13029601,0,0,15791814,15791814
조일알미늄(주),018470,2014/12,284817577,67.24,40.21,59.79,-5.25,12426029,413127,0,-4073872,-4073872
중소기업은행,024110,2014/12,207930417000,1260.57,92.65,7.35,-3.55,-2713242000,0,0,3597549000,1238440000
