회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
동양생명보험(주),082640,2017/12,30273690901,1169.78,92.12,7.88,-3.9,2927812816,0,0,,234957017
동양철관(주),008970,2017/12,143266431,152.12,60.34,39.66,12.56,-6252113,0,0,-7914355,-7914355
동양피스톤(주),092780,2017/12,245472937,174.27,63.54,36.46,-6.56,9382704,2496049,0,13985245,13985245
동원금속(주),018500,2017/03,354378055,472.96,82.55,17.45,-2.4,67972403,1403360,0,3309386,3309386
동원산업(주),006040,2017/12,1453430510,124.49,55.45,44.55,10.52,102741264,0,0,82450320,82450320
동원수산(주),030720,2017/12,99628529,151.48,60.24,39.76,2.76,11132852,0,0,3089881,3089881
동원시스템즈(주),014820,2017/12,696996752,103.6,50.88,49.12,5.14,21952065,0,0,31607479,31607479
동일고무벨트(주),163560,2017/12,270015587,52.9,34.6,65.4,10.91,4622257,0,340028,6082578,6082578
동일산업(주),004890,2017/12,396270446,15.12,13.13,86.87,24.54,21106633,0,0,23461975,23461975
동일제강(주),002690,2017/12,150176957,14.37,12.57,87.43,13.55,635914,0,0,1059484,1059484
동화약품(주),000020,2017/12,367225133,23.67,19.14,80.86,9.02,-16519975,0,20327804,10987308,10987308
두산밥캣(주),241560,2017/12,3264074033,3.54,3.42,96.58,40.99,4410168,0,0,-4775042,-4775042
두산에너빌리티(주),034020,2017/12,11745018866,162.86,61.96,38.04,-7.83,-63838710,0,0,226269587,226269587
디씨엠(주),024090,2017/12,167998177,14.72,12.83,87.17,3.71,8413541,0,0,13655087,13655087
디아이동일(주),001530,2017/12,715282460,55.89,35.85,64.15,-1.09,17833176,0,0,1022031,1022031
디에스알(주),155660,2017/12,194448136,41.41,29.28,70.72,13.54,11109494,0,0,15009017,15009017
디에스알제강(주),069730,2017/12,196090792,50.77,33.68,66.32,2.9,3808807,0,0,2478368,2478368
디엘(주),000210,2017/12,10637713334,128.88,56.31,43.69,29.74,301287215,0,0,355634686,355634686
디엘건설(주),001880,2017/12,771791251,139.26,58.2,41.8,-5.78,58340198,0,0,83779874,83779874
디와이(주),013570,2017/12,241973962,7.18,6.7,93.3,21.87,-4629763,0,0,-304465,-304465
디와이파워(주),210540,2017/12,187923089,35.56,26.23,73.77,23.64,5007005,0,0,23274194,23274194
롯데관광개발(주),032350,2017/12,390424459,130.37,56.59,43.41,44.66,6666014,0,4810700,5038512,5038512
롯데렌탈(주),089860,2017/12,3615481147,577.34,85.24,14.76,16.51,-328033527,0,15760570,93062477,93062477
롯데손해보험(주),000400,2017/12,12802169219,2239.35,95.73,4.27,9.61,198074850,0,0,,101061833
롯데쇼핑(주),023530,2017/12,22820866673,82.39,45.17,54.83,-34.1,1655872903,0,258487040,490150642,490150642
롯데에너지머티리얼즈(주),020150,2017/12,560688339,9.41,8.6,91.4,17.68,72674864,2644957,0,46781351,46781351
롯데웰푸드(주),280360,2017/12,1851479505,,,,,31001162,0,22534000,9431010,9431010
롯데정밀화학(주),004000,2017/12,1582474809,39.44,28.28,71.72,4.2,190784321,0,0,112355982,112355982
롯데정보통신(주),286940,2017/12,462890793,,,,,-17920244,0,52486,4410586,4410586
롯데지주(주),004990,2017/12,6187084323,25.11,20.07,79.93,-98.18,-10987922,0,11565000,-3646216,-3646216
롯데칠성음료(주),005300,2017/12,3431725841,168.29,62.73,37.27,0.67,131658654,0,135649000,74566487,74566487
