,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
한국주강,기계,70437858000.0,6.53,93.87,-5.84,2015,0.16748928932868548,0.535,B이하,C,B이하,B이하,0.0
한국철강,철강금속,896577601000.0,23.02,81.29,-8.38,2015,0.1530123864743615,0.62,B이하,B,B이하,B+,8286000000.0
한국카본,기계,347432101000.0,23.25,81.13,4.97,2015,0.00797925878652505,1.03,B이하,C,B이하,B이하,4954000000.0
한국콜마,화학,344296273000.0,56.01,64.1,16.17,2015,0.09756113835390362,9.09,B이하,C,B이하,B이하,4220000000.0
한국콜마홀딩스,서비스업,499515755000.0,86.51,53.62,34.65,2015,1.7950041940066293,7.57,B이하,B,B이하,B이하,2081000000.0
한국화장품,유통업,72898699000.0,75.74,56.9,28.97,2015,-0.6221326523166727,4.515000000000001,B이하,C,B이하,B이하,0.0
한국화장품제조,화학,50200633000.0,44.52,69.2,28.26,2015,0.1582609173666388,4.71,B이하,B,B이하,B이하,0.0
한농화성,화학,140477980000.0,49.4,66.94,-7.71,2015,0.11263858622645452,0.705,B이하,B,B이하,B이하,1529000000.0
한독,의약품,530587277000.0,74.7,57.24,0.0,2015,0.040839908836550184,1.39,B이하,B,B+,B이하,1245000000.0
한미반도체,기계,225559496000.0,16.29,85.99,0.0,2015,0.3031110780959496,1.84,B이하,C,B이하,B이하,10963000000.0
한미사이언스,서비스업,932024384000.0,59.53,62.69,45.74,2015,0.2704803684234795,14.07,B이하,B,B이하,B이하,27620000000.0
한미약품,의약품,1722592753000.0,131.28,43.24,73.07,2015,0.09136608670734676,10.275,B이하,C,B+,B+,20420000000.0
한샘,유통업,768849170000.0,76.67,56.6,29.09,2015,0.12324830737556919,13.955,B이하,B+,B이하,B이하,18080000000.0
한섬,섬유의복,957470937000.0,15.17,86.83,17.5,2015,0.07442440452783095,1.065,B이하,B,B이하,B이하,6591000000.0
한성기업,음식료품,214603274000.0,301.71,24.89,1.53,2015,-0.04623248738625333,0.935,B이하,C,B이하,B이하,0.0
한세실업,섬유의복,992172304000.0,133.12,42.9,20.81,2015,0.009890579913550121,4.75,B이하,B+,B이하,B이하,10000000000.0
한세예스24홀딩스,서비스업,1436140855000.0,161.48,38.24,20.69,2015,4.879991472958767,7.385,B이하,B,B이하,B이하,4800000000.0
한솔로지스틱스,운수창고업,90195689000.0,123.11,44.82,-14.6,2015,-0.003454410547876453,4.425,B이하,C,B이하,B이하,329000000.0
한솔케미칼,화학,521035797000.0,111.14,47.36,9.49,2015,0.16296515887154853,3.76,B+,B+,B이하,B+,8871000000.0
한솔테크닉스,전기전자,541196306000.0,109.42,47.75,14.89,2015,0.08125868916717476,2.0949999999999998,B이하,C,B이하,B이하,0.0
한솔홀딩스,서비스업,1974138514000.0,247.2,28.8,17.94,2015,5.1353409090909095,0.51,B이하,B,B이하,B이하,0.0
한솔홈데코,종이목재,291209034000.0,117.51,45.97,2.65,2015,0.04738887588507227,1.02,B이하,C,B+,B+,0.0
한신공영,건설업,1529444074000.0,555.05,15.27,24.5,2015,0.19488417809872605,0.96,B이하,B,B이하,B이하,0.0
한양증권,증권,963516678000.0,266.88,27.26,0.0,2015,-0.02170458911885425,0.455,B이하,B+,B이하,B이하,5304000000.0
한온시스템,기계,3459361438000.0,92.25,52.02,1.89,2015,0.1968052244926679,3.2299999999999995,B이하,C,B이하,B+,103557000000.0
한올바이오파마,의약품,117125562000.0,23.01,81.29,-1.06,2015,-0.005673668820214188,5.885,B이하,B,B이하,B이하,0.0
한익스프레스,운수창고업,131657889000.0,146.71,40.53,21.75,2015,0.012133484886915584,2.255,B이하,B,B이하,B이하,840000000.0
한일철강,철강금속,342792291000.0,127.13,44.03,-12.73,2015,0.04323498712685269,0.305,B이하,C,B이하,B이하,0.0
한진,운수창고업,2503676698000.0,240.87,29.34,7.1,2015,0.04089527567887922,0.9299999999999999,B이하,C,B이하,B이하,4721000000.0
한진중공업홀딩스,서비스업,2646968000000.0,165.15,37.71,-14.99,2015,3.8574148230814678,0.27,B이하,B,B이하,B이하,0.0
한진칼,서비스업,2315048939000.0,57.65,63.43,15.58,2015,2.867051995773092,1.1400000000000001,B이하,C,B이하,B이하,4011000000.0
한창,유통업,67607184000.0,98.96,50.26,-10.42,2015,-1.0554524205378972,2.815,B이하,D,B이하,B이하,524000000.0
한창제지,종이목재,144766140000.0,239.49,29.46,1.52,2015,-0.015410792721188036,1.545,B이하,C,B이하,B이하,0.0
한화,화학,145621715231000.0,967.16,9.37,10.46,2015,1.8868020058761474,1.2149999999999999,B+,B+,B+,A,34803000000.0
한화손해보험,보험,11803377681000.0,1271.03,7.29,7.84,2015,0.057741450248487654,0.685,B이하,B,B+,B이하,6352000000.0
한화투자증권,증권,7662276760000.0,879.06,10.21,86.13,2015,0.01716474938193035,0.655,B이하,B,B이하,B이하,0.0
현대건설,건설업,19350103000000.0,161.82,38.19,11.33,2015,0.05561611210994951,0.9650000000000001,B+,B,B+,A,55732000000.0
현대글로비스,운수창고업,7478514339000.0,141.49,41.41,5.38,2015,0.06629902937066821,3.34,B이하,B,B이하,B+,112500000000.0
현대로템,운수장비,5043947265000.0,250.84,28.5,3.7,2015,-0.1836704601471427,1.35,B+,B+,B이하,B+,0.0
현대리바트,기타제조업,379216031000.0,54.31,64.8,7.99,2015,0.021308189072803897,3.865,B이하,B+,B이하,B이하,1347000000.0
현대모비스,운수장비,37774833000000.0,47.12,67.97,-0.46,2015,0.2280940499936659,1.245,B이하,C,B+,B+,330987000000.0
현대미포조선,운수장비,9438010980000.0,425.27,19.04,17.26,2015,-0.3275674501807777,0.855,B+,B+,B+,A,0.0
현대백화점,유통업,6160846844000.0,52.84,65.43,6.77,2015,0.3298657589804442,1.13,B+,B+,B+,B이하,15954000000.0
현대비앤지스틸,철강금속,581173005000.0,79.1,55.83,0.0,2015,0.06692501230127454,0.64,B이하,B,B이하,B+,0.0
현대위아,운수장비,6683131755000.0,111.28,47.33,3.8,2015,0.08090636426728559,1.415,B+,B+,B+,B+,29218000000.0
현대제철,철강금속,31936433537000.0,105.78,48.6,-3.76,2015,0.21172033688187433,0.5599999999999999,B+,B,B+,B+,97772000000.0
현대홈쇼핑,유통업,1666364862000.0,22.81,81.43,0.0,2015,0.09551726445140728,1.255,B+,A,B이하,B이하,17766000000.0
혜인,유통업,236639585000.0,159.32,38.56,2.66,2015,0.15134875171929268,0.49,B이하,C,B이하,B이하,338000000.0
호텔신라,유통업,2176705187000.0,192.59,34.18,11.78,2015,0.043847575560764004,5.475,B이하,B,B이하,B+,13811000000.0
화성산업,건설업,473477372000.0,65.58,60.39,14.12,2015,-0.057458652896796795,0.935,B이하,B+,B+,B이하,6297000000.0
화신,운수장비,900499508000.0,147.83,40.35,-4.71,2015,0.048796920086465474,0.535,B이하,C,B이하,B이하,3472000000.0
