,업종명,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,2021_종가,2022_종가,등락률,연도
158,서비스업,유엔젤,1.0,2.0,3.0,1.0,1.0,1.0,0.0,-1.0,-2.0,5580,2890,-0.482078853046595,"21,22년"
159,서비스업,이노션,4.0,5.0,5.0,3.0,5.0,4.0,-1.0,0.0,-1.0,58800,40150,-0.3171768707482993,"21,22년"
160,서비스업,이스타코,1.0,2.0,3.0,1.0,1.0,2.0,0.0,-1.0,-1.0,3280,1020,-0.6890243902439024,"21,22년"
161,서비스업,자이에스앤디,2.0,3.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,9540,6100,-0.360587002096436,"21,22년"
162,서비스업,제일기획,2.0,5.0,4.0,4.0,5.0,5.0,2.0,0.0,1.0,23850,24450,0.0251572327044025,"21,22년"
163,서비스업,제일파마홀딩스,1.0,3.0,3.0,1.0,1.0,1.0,0.0,-2.0,-2.0,17400,9470,-0.4557471264367816,"21,22년"
164,서비스업,지투알,1.0,3.0,3.0,1.0,3.0,4.0,0.0,0.0,1.0,6320,5870,-0.0712025316455696,"21,22년"
165,서비스업,카카오,5.0,6.0,5.0,5.0,5.0,5.0,0.0,-1.0,0.0,125500,50700,-0.5960159362549801,"21,22년"
166,서비스업,코웨이,5.0,6.0,4.0,5.0,5.0,3.0,0.0,-1.0,-1.0,79400,55300,-0.3035264483627204,"21,22년"
167,서비스업,콤텍시스템,1.0,3.0,2.0,1.0,1.0,1.0,0.0,-2.0,-1.0,930,626,-0.3268817204301075,"21,22년"
168,서비스업,쿠쿠홈시스,1.0,2.0,4.0,1.0,1.0,3.0,0.0,-1.0,-1.0,43500,28700,-0.3402298850574712,"21,22년"
169,서비스업,키다리스튜디오,1.0,3.0,3.0,1.0,1.0,2.0,0.0,-2.0,-1.0,17250,6250,-0.6376811594202898,"21,22년"
170,서비스업,텔코웨어,1.0,2.0,3.0,1.0,1.0,2.0,0.0,-1.0,-1.0,11200,8650,-0.2276785714285714,"21,22년"
171,서비스업,하나투어,3.0,5.0,4.0,4.0,4.0,4.0,1.0,-1.0,0.0,83700,49850,-0.4044205495818399,"21,22년"
172,서비스업,하이브,,,,1.0,1.0,3.0,,,,335000,121000,-0.6388059701492538,"21,22년"
173,서비스업,한국종합기술,3.0,2.0,4.0,1.0,2.0,3.0,-2.0,0.0,-1.0,7420,6980,-0.059299191374663,"21,22년"
175,서비스업,한전기술,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,70900,49650,-0.2997179125528914,"21,22년"
176,서비스업,한전산업,3.0,4.0,4.0,2.0,3.0,2.0,-1.0,-1.0,-2.0,16700,8010,-0.5203592814371257,"21,22년"
